correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
dyn-175,0.41,0.52,0.35,0.68,0.33,0.33,0.21,0.62,0.48,0.49,0.18,-0.13,-0.19,0.12,-0.33,0.78,0.37,0.74,0.49,0.02,-0.19
dyn-200,0.45,0.57,0.39,0.72,0.39,0.39,0.26,0.66,0.50,0.53,0.15,-0.18,-0.25,0.08,-0.38,0.76,0.36,0.71,0.48,0.00,-0.18
dyn-225,0.48,0.61,0.42,0.74,0.42,0.43,0.28,0.68,0.51,0.56,0.14,-0.22,-0.28,0.05,-0.41,0.74,0.35,0.68,0.47,-0.00,-0.17
dyn-250,0.49,0.63,0.44,0.76,0.45,0.46,0.30,0.70,0.52,0.58,0.13,-0.24,-0.31,0.03,-0.43,0.72,0.35,0.66,0.46,-0.01,-0.15
dyn-275,0.51,0.65,0.45,0.77,0.47,0.48,0.31,0.71,0.53,0.59,0.12,-0.26,-0.32,0.02,-0.45,0.70,0.35,0.64,0.45,-0.02,-0.15
dyn-300,0.52,0.66,0.46,0.78,0.48,0.49,0.32,0.71,0.53,0.60,0.11,-0.28,-0.34,0.01,-0.46,0.69,0.35,0.63,0.44,-0.02,-0.14
severe+dyn-25,-0.37,-0.81,-0.89,-0.70,-0.72,-0.66,-0.18,-0.70,-0.08,-0.56,0.67,0.77,0.65,0.54,0.46,-0.27,0.74,-0.44,0.12,0.45,0.10
severe+dyn-50,-0.37,-0.81,-0.88,-0.67,-0.77,-0.72,-0.23,-0.69,-0.02,-0.49,0.69,0.76,0.64,0.58,0.43,-0.14,0.67,-0.30,0.18,0.47,0.08
severe+dyn-75,-0.30,-0.77,-0.87,-0.59,-0.78,-0.74,-0.21,-0.62,0.04,-0.42,0.70,0.75,0.62,0.60,0.40,-0.01,0.67,-0.17,0.26,0.46,0.05
severe+dyn-100,-0.22,-0.70,-0.84,-0.51,-0.73,-0.68,-0.14,-0.53,0.09,-0.37,0.73,0.72,0.58,0.61,0.35,0.06,0.68,-0.12,0.34,0.47,0.03
severe+dyn-125,-0.16,-0.64,-0.82,-0.44,-0.67,-0.60,-0.07,-0.46,0.14,-0.33,0.76,0.70,0.54,0.60,0.30,0.09,0.68,-0.11,0.39,0.49,0.02
severe+dyn-150,-0.10,-0.58,-0.80,-0.39,-0.62,-0.54,-0.01,-0.41,0.18,-0.29,0.78,0.67,0.50,0.59,0.25,0.09,0.68,-0.12,0.42,0.50,0.03
severe+dyn-175,-0.06,-0.54,-0.78,-0.36,-0.58,-0.50,0.03,-0.37,0.21,-0.26,0.79,0.64,0.47,0.58,0.22,0.09,0.68,-0.14,0.43,0.50,0.04
severe+dyn-200,-0.03,-0.51,-0.77,-0.33,-0.55,-0.47,0.06,-0.35,0.24,-0.24,0.80,0.62,0.45,0.57,0.19,0.08,0.69,-0.15,0.44,0.51,0.05
severe+dyn-225,-0.01,-0.49,-0.76,-0.31,-0.53,-0.44,0.08,-0.33,0.26,-0.22,0.81,0.61,0.43,0.56,0.17,0.08,0.69,-0.17,0.45,0.51,0.06
severe+dyn-250,0.01,-0.48,-0.75,-0.30,-0.52,-0.42,0.10,-0.32,0.27,-0.20,0.81,0.60,0.41,0.55,0.15,0.07,0.69,-0.18,0.45,0.51,0.07
severe+dyn-275,0.02,-0.46,-0.75,-0.29,-0.50,-0.41,0.11,-0.31,0.28,-0.19,0.81,0.58,0.40,0.55,0.14,0.07,0.69,-0.19,0.45,0.51,0.07
severe+dyn-300,0.03,-0.45,-0.74,-0.28,-0.49,-0.40,0.12,-0.30,0.29,-0.18,0.81,0.58,0.39,0.54,0.13,0.06,0.69,-0.20,0.45,0.51,0.08
