correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
dyn-175,0.65,0.68,-0.10,0.15,0.20,0.35,0.38,0.34,0.66,0.55,0.19,0.37,0.34,0.49,-0.18,0.64,-0.14,0.47,0.45,-0.09,-0.36
dyn-200,0.69,0.70,-0.14,0.16,0.18,0.32,0.37,0.34,0.69,0.58,0.19,0.39,0.36,0.52,-0.19,0.67,-0.11,0.51,0.49,-0.07,-0.31
dyn-225,0.71,0.72,-0.17,0.18,0.17,0.29,0.37,0.34,0.71,0.60,0.20,0.41,0.37,0.54,-0.21,0.69,-0.08,0.53,0.52,-0.06,-0.27
dyn-250,0.73,0.73,-0.18,0.20,0.16,0.28,0.38,0.35,0.72,0.61,0.20,0.41,0.37,0.55,-0.22,0.70,-0.05,0.55,0.54,-0.06,-0.23
dyn-275,0.74,0.74,-0.19,0.22,0.16,0.27,0.38,0.35,0.73,0.61,0.20,0.42,0.36,0.56,-0.23,0.71,-0.04,0.57,0.55,-0.06,-0.20
dyn-300,0.74,0.74,-0.19,0.23,0.16,0.26,0.39,0.36,0.73,0.61,0.20,0.42,0.36,0.56,-0.24,0.71,-0.03,0.58,0.56,-0.07,-0.17
severe+dyn-25,0.50,0.38,-0.41,0.44,-0.14,-0.10,-0.09,0.41,0.49,0.25,0.31,0.45,0.24,0.42,-0.12,0.34,0.77,0.25,0.44,-0.12,0.03
severe+dyn-50,0.59,0.54,-0.26,0.52,0.13,0.18,0.05,0.57,0.58,0.33,0.38,0.42,0.22,0.43,-0.15,0.36,0.58,0.24,0.46,-0.24,-0.18
severe+dyn-75,0.64,0.64,-0.14,0.43,0.26,0.38,0.22,0.62,0.64,0.43,0.36,0.44,0.31,0.47,-0.11,0.45,0.32,0.29,0.48,-0.23,-0.36
severe+dyn-100,0.68,0.68,-0.13,0.32,0.23,0.39,0.30,0.53,0.67,0.51,0.30,0.45,0.37,0.51,-0.12,0.57,0.19,0.39,0.49,-0.17,-0.42
severe+dyn-125,0.70,0.69,-0.17,0.29,0.17,0.34,0.32,0.47,0.70,0.54,0.28,0.46,0.38,0.53,-0.16,0.63,0.17,0.44,0.49,-0.13,-0.40
severe+dyn-150,0.73,0.71,-0.21,0.28,0.14,0.29,0.33,0.44,0.73,0.56,0.28,0.47,0.38,0.55,-0.19,0.66,0.18,0.48,0.52,-0.10,-0.36
severe+dyn-175,0.76,0.73,-0.25,0.29,0.11,0.26,0.33,0.42,0.75,0.58,0.28,0.49,0.39,0.58,-0.21,0.69,0.20,0.51,0.54,-0.08,-0.31
severe+dyn-200,0.78,0.74,-0.28,0.29,0.10,0.23,0.32,0.41,0.77,0.60,0.28,0.50,0.40,0.60,-0.22,0.71,0.22,0.54,0.57,-0.07,-0.27
severe+dyn-225,0.79,0.75,-0.30,0.30,0.08,0.20,0.32,0.41,0.78,0.61,0.28,0.50,0.40,0.61,-0.23,0.72,0.24,0.56,0.59,-0.06,-0.23
severe+dyn-250,0.80,0.75,-0.30,0.31,0.08,0.19,0.32,0.41,0.79,0.61,0.28,0.51,0.40,0.62,-0.24,0.72,0.26,0.57,0.60,-0.05,-0.20
severe+dyn-275,0.80,0.76,-0.30,0.33,0.08,0.18,0.32,0.42,0.79,0.61,0.28,0.50,0.39,0.62,-0.25,0.72,0.27,0.58,0.61,-0.06,-0.17
severe+dyn-300,0.80,0.76,-0.30,0.34,0.08,0.18,0.33,0.42,0.79,0.61,0.28,0.50,0.39,0.62,-0.25,0.72,0.27,0.59,0.61,-0.06,-0.15
