p-value,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
Segmented - DAT at 200 HU,4.2662e-01,9.0712e-02,7.4422e-05,2.2291e-01,7.1399e-02,8.0955e-02,6.7225e-01,1.4539e-01,1.1324e-01,6.9053e-01,4.8506e-04,1.0884e-03,3.5980e-02,1.7011e-04,5.8321e-01,5.3000e-01,1.1495e-03,7.6219e-02,1.2106e-01,2.6267e-01,6.1223e-01
Segmented - DAT at 225 HU,4.3135e-01,8.8511e-02,7.0843e-05,2.1901e-01,6.9678e-02,7.8790e-02,6.7987e-01,1.4226e-01,1.1524e-01,6.8451e-01,4.9479e-04,1.0499e-03,3.5155e-02,1.6705e-04,5.7667e-01,5.3112e-01,1.1514e-03,7.7301e-02,1.2249e-01,2.6047e-01,6.1439e-01
Segmented - DAT at 250 HU,4.3421e-01,8.7201e-02,6.8769e-05,2.1662e-01,6.8636e-02,7.7484e-02,6.8462e-01,1.4040e-01,1.1653e-01,6.8078e-01,5.0166e-04,1.0280e-03,3.4668e-02,1.6554e-04,5.7263e-01,5.3182e-01,1.1521e-03,7.7966e-02,1.2337e-01,2.5918e-01,6.1552e-01
Segmented - DAT at 275 HU,4.3564e-01,8.6535e-02,6.7703e-05,2.1539e-01,6.8097e-02,7.6811e-02,6.8709e-01,1.3947e-01,1.1718e-01,6.7890e-01,5.0527e-04,1.0172e-03,3.4426e-02,1.6484e-04,5.7059e-01,5.3219e-01,1.1513e-03,7.8309e-02,1.2382e-01,2.5852e-01,6.1603e-01
Segmented - DAT at 300 HU,4.3646e-01,8.6147e-02,6.7071e-05,2.1467e-01,6.7769e-02,7.6406e-02,6.8858e-01,1.3893e-01,1.1757e-01,6.7781e-01,5.0757e-04,1.0111e-03,3.4285e-02,1.6445e-04,5.6939e-01,5.3245e-01,1.1512e-03,7.8525e-02,1.2407e-01,2.5814e-01,6.1633e-01
Normal Lung (at 5 HU),2.3694e-02,7.4396e-04,1.5711e-02,1.6853e-03,2.3693e-02,1.3641e-02,3.2922e-02,2.9724e-04,2.2307e-01,1.9976e-02,6.9482e-01,3.2948e-02,1.6318e-02,2.0984e-01,2.0485e-02,9.7183e-02,9.3015e-01,1.1273e-01,5.4386e-01,1.1893e-01,9.8586e-01
Normal Lung (at 25 HU),3.5484e-02,3.8383e-04,6.8550e-03,1.6630e-03,1.2511e-02,7.1076e-03,3.9660e-02,2.3514e-04,4.5586e-01,3.8219e-02,3.7334e-01,5.6585e-03,4.1685e-03,5.1764e-02,2.4877e-02,1.9729e-01,7.0782e-01,1.3870e-01,8.6465e-01,7.8898e-02,9.8611e-01
Normal Lung (at 50 HU),2.0961e-02,1.3075e-04,1.2303e-02,1.2028e-03,3.3337e-03,1.6834e-03,1.6959e-02,1.0034e-04,4.5672e-01,6.1472e-02,4.7054e-01,6.4822e-03,3.3149e-03,4.4925e-02,1.6695e-02,3.8694e-01,5.2843e-01,3.1314e-01,9.3615e-01,1.0682e-01,9.4913e-01
Normal Lung (at 75 HU),1.0986e-02,1.6935e-04,2.9594e-02,2.2155e-03,2.4062e-03,1.0766e-03,5.4696e-03,2.0597e-04,3.2082e-01,7.2486e-02,7.6530e-01,1.5927e-02,4.3360e-03,8.0326e-02,1.0291e-02,7.2716e-01,5.5880e-01,7.5884e-01,8.1330e-01,9.0948e-02,7.1393e-01
Normal Lung (at 100 HU),8.8537e-03,1.2926e-03,9.5190e-02,6.4431e-03,1.3959e-02,6.3499e-03,5.2480e-03,1.2205e-03,2.5442e-01,7.0071e-02,9.1268e-01,4.2008e-02,1.3392e-02,1.6996e-01,1.8207e-02,8.6477e-01,6.1137e-01,9.9493e-01,6.9007e-01,1.0761e-01,5.6754e-01
Normal Lung (at 125 HU),8.4808e-03,3.6536e-03,1.6228e-01,1.2437e-02,3.3487e-02,1.6540e-02,6.5109e-03,3.1261e-03,2.4005e-01,7.6476e-02,9.8124e-01,6.5595e-02,2.3171e-02,2.3144e-01,2.7296e-02,9.2365e-01,6.4520e-01,9.2194e-01,6.5680e-01,1.2366e-01,5.1264e-01
Normal Lung (at 150 HU),7.7758e-03,5.4818e-03,2.0116e-01,1.7192e-02,4.7420e-02,2.5204e-02,7.5106e-03,4.5598e-03,2.3956e-01,8.4129e-02,9.8186e-01,7.6574e-02,2.7431e-02,2.5246e-01,3.2068e-02,9.3967e-01,6.6249e-01,9.1128e-01,6.5791e-01,1.2830e-01,4.9135e-01
Normal Lung (at 175 HU),7.2248e-03,6.4419e-03,2.2131e-01,1.9511e-02,5.4760e-02,3.0165e-02,7.8364e-03,5.2915e-03,2.3908e-01,8.8041e-02,9.6220e-01,8.2120e-02,2.9494e-02,2.6249e-01,3.4319e-02,9.3957e-01,6.7175e-01,9.1650e-01,6.5976e-01,1.3098e-01,4.8463e-01
Normal Lung (at 200 HU),6.8784e-03,6.9804e-03,2.3277e-01,2.0745e-02,5.8863e-02,3.3067e-02,7.9439e-03,5.7105e-03,2.3956e-01,9.0555e-02,9.5220e-01,8.5250e-02,3.0706e-02,2.6771e-01,3.5725e-02,9.3738e-01,6.7650e-01,9.2255e-01,6.6188e-01,1.3269e-01,4.8243e-01
Normal Lung (at 225 HU),6.6889e-03,7.3736e-03,2.4037e-01,2.1654e-02,6.1816e-02,3.5208e-02,8.0837e-03,6.0192e-03,2.4085e-01,9.2585e-02,9.4716e-01,8.7275e-02,3.1569e-02,2.7063e-01,3.6879e-02,9.3458e-01,6.7859e-01,9.2845e-01,6.6410e-01,1.3388e-01,4.8081e-01
Normal Lung (at 250 HU),6.6067e-03,7.6457e-03,2.4502e-01,2.2309e-02,6.3807e-02,3.6668e-02,8.2305e-03,6.2347e-03,2.4220e-01,9.4043e-02,9.4499e-01,8.8465e-02,3.2120e-02,2.7207e-01,3.7714e-02,9.3270e-01,6.7926e-01,9.3234e-01,6.6576e-01,1.3455e-01,4.7944e-01
Normal Lung (at 275 HU),6.5700e-03,7.7989e-03,2.4751e-01,2.2681e-02,6.4922e-02,3.7486e-02,8.3247e-03,6.3538e-03,2.4290e-01,9.4803e-02,9.4389e-01,8.9079e-02,3.2406e-02,2.7281e-01,3.8154e-02,9.3168e-01,6.7946e-01,9.3438e-01,6.6662e-01,1.3493e-01,4.7855e-01
Normal Lung (at 300 HU),6.5632e-03,7.9022e-03,2.4898e-01,2.2935e-02,6.5664e-02,3.8028e-02,8.4076e-03,6.4318e-03,2.4340e-01,9.5273e-02,9.4340e-01,8.9452e-02,3.2590e-02,2.7324e-01,3.8442e-02,9.3088e-01,6.7947e-01,9.3580e-01,6.6713e-01,1.3518e-01,4.7808e-01
Calculated FVC,1.0186e-02,5.4537e-03,1.3407e-01,2.3315e-02,5.5980e-02,3.4605e-02,1.9674e-02,5.2187e-03,3.6543e-01,1.0825e-01,8.0812e-01,3.8213e-02,1.4618e-02,1.3207e-01,4.0225e-02,9.1380e-01,6.1438e-01,9.2118e-01,8.2524e-01,1.0367e-01,4.1970e-01
