p-value,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
Segmented - DAT at 200 HU,9.9961e-01,1.6427e-02,2.5933e-05,7.4246e-02,2.4490e-02,2.3998e-02,7.8555e-01,3.0707e-02,2.7087e-01,4.0416e-01,2.2202e-03,5.9377e-05,5.3459e-03,2.9316e-05,2.7487e-01,5.6087e-01,1.0768e-02,1.1880e-01,2.0380e-01,1.4726e-01,8.2648e-01
Segmented - DAT at 225 HU,9.9562e-01,1.6033e-02,2.5358e-05,7.2992e-02,2.3974e-02,2.3397e-02,7.7931e-01,3.0041e-02,2.7416e-01,4.0062e-01,2.2742e-03,5.8132e-05,5.2424e-03,2.9756e-05,2.7163e-01,5.6212e-01,1.0780e-02,1.2031e-01,2.0577e-01,1.4637e-01,8.2829e-01
Segmented - DAT at 250 HU,9.9273e-01,1.5795e-02,2.4999e-05,7.2209e-02,2.3655e-02,2.3028e-02,7.7539e-01,2.9639e-02,2.7624e-01,3.9840e-01,2.3096e-03,5.7417e-05,5.1802e-03,3.0075e-05,2.6961e-01,5.6290e-01,1.0786e-02,1.2124e-01,2.0698e-01,1.4585e-01,8.2922e-01
Segmented - DAT at 275 HU,9.9128e-01,1.5672e-02,2.4798e-05,7.1802e-02,2.3486e-02,2.2835e-02,7.7335e-01,2.9434e-02,2.7731e-01,3.9729e-01,2.3280e-03,5.7079e-05,5.1496e-03,3.0249e-05,2.6859e-01,5.6330e-01,1.0787e-02,1.2172e-01,2.0759e-01,1.4558e-01,8.2964e-01
Segmented - DAT at 300 HU,9.9043e-01,1.5598e-02,2.4663e-05,7.1554e-02,2.3380e-02,2.2715e-02,7.7210e-01,2.9315e-02,2.7793e-01,3.9664e-01,2.3391e-03,5.6877e-05,5.1313e-03,3.0348e-05,2.6798e-01,5.6358e-01,1.0787e-02,1.2201e-01,2.0794e-01,1.4542e-01,8.2989e-01
Normal Lung (at 5 HU),2.4086e-01,8.7041e-03,7.2459e-03,3.7060e-03,6.4250e-02,4.9914e-02,2.3315e-01,2.9992e-03,2.4956e-01,2.4755e-02,6.6733e-01,1.5513e-01,1.3901e-01,5.6159e-01,8.5347e-02,1.1914e-03,9.5628e-02,2.3735e-03,4.1933e-01,3.4910e-01,3.9646e-01
Normal Lung (at 25 HU),2.1954e-01,9.2703e-04,4.5076e-04,1.1548e-03,1.2324e-02,8.8596e-03,1.7765e-01,4.5301e-04,6.6396e-01,4.6105e-02,1.8280e-01,7.9607e-03,1.5290e-02,5.9865e-02,6.5615e-02,2.7339e-02,9.8550e-01,7.8697e-03,9.2758e-01,1.4478e-01,5.0670e-01
Normal Lung (at 50 HU),1.2474e-01,1.1110e-04,1.6681e-03,4.5203e-04,5.8635e-04,3.7883e-04,5.9768e-02,7.2978e-05,6.8379e-01,1.0361e-01,2.9901e-01,1.1034e-02,1.3212e-02,4.9585e-02,4.2041e-02,1.6246e-01,5.0029e-01,9.3138e-02,9.4631e-01,2.3466e-01,5.3453e-01
Normal Lung (at 75 HU),1.3755e-01,2.0608e-04,8.0233e-03,1.3469e-03,2.1934e-05,1.2970e-05,1.7265e-02,3.7683e-04,4.4646e-01,1.6880e-01,7.7832e-01,5.8484e-02,3.1014e-02,1.5034e-01,2.4874e-02,5.5430e-01,8.7686e-01,6.0730e-01,8.6279e-01,2.7224e-01,6.6291e-01
Normal Lung (at 100 HU),3.1516e-01,4.0840e-02,2.6915e-01,3.3523e-02,1.4396e-02,7.5616e-03,3.3029e-02,4.0412e-02,2.5066e-01,2.0556e-01,7.3354e-01,4.6713e-01,3.0532e-01,8.1791e-01,9.7790e-02,8.1120e-01,7.3068e-01,8.1018e-01,5.1727e-01,5.3526e-01,7.1080e-01
Normal Lung (at 125 HU),7.8893e-01,6.6145e-01,7.4592e-01,4.2429e-01,4.2530e-01,3.2066e-01,2.0485e-01,5.9747e-01,2.4102e-01,4.3933e-01,3.8650e-01,6.4034e-01,8.5609e-01,3.5352e-01,4.6309e-01,9.7808e-01,5.7950e-01,4.7287e-01,3.8452e-01,9.5952e-01,6.6113e-01
Normal Lung (at 150 HU),7.4083e-01,5.1044e-01,1.9906e-01,8.5973e-01,8.2452e-01,9.2526e-01,6.1332e-01,5.9677e-01,3.2293e-01,8.6137e-01,2.0197e-01,1.4186e-01,2.4361e-01,6.7494e-02,9.7325e-01,8.8135e-01,5.2219e-01,3.7305e-01,3.7840e-01,5.1567e-01,5.3216e-01
Normal Lung (at 175 HU),5.3689e-01,2.2762e-01,7.8722e-02,5.1251e-01,4.7016e-01,5.2384e-01,9.0717e-01,2.9042e-01,4.0276e-01,8.6665e-01,1.4492e-01,4.2553e-02,8.7101e-02,2.1216e-02,6.5074e-01,8.6508e-01,4.9594e-01,3.7326e-01,4.0278e-01,3.2722e-01,4.6545e-01
Normal Lung (at 200 HU),4.4699e-01,1.3569e-01,4.5748e-02,3.6790e-01,3.2729e-01,3.5672e-01,9.3166e-01,1.8201e-01,4.6386e-01,7.2006e-01,1.2701e-01,2.0159e-02,4.5230e-02,1.1280e-02,4.9550e-01,8.6693e-01,4.8387e-01,3.9131e-01,4.2893e-01,2.4963e-01,4.3272e-01
Normal Lung (at 225 HU),3.9645e-01,9.5066e-02,3.2325e-02,2.9212e-01,2.5402e-01,2.7082e-01,8.2834e-01,1.3186e-01,5.1311e-01,6.2923e-01,1.2103e-01,1.2338e-02,2.8916e-02,7.8387e-03,4.0619e-01,8.7443e-01,4.7883e-01,4.1201e-01,4.5171e-01,2.0951e-01,4.1638e-01
Normal Lung (at 250 HU),3.6815e-01,7.6101e-02,2.6361e-02,2.5206e-01,2.1626e-01,2.2685e-01,7.6587e-01,1.0778e-01,5.4747e-01,5.7629e-01,1.1976e-01,9.2387e-03,2.1986e-02,6.4976e-03,3.5683e-01,8.7993e-01,4.7721e-01,4.2670e-01,4.6764e-01,1.8923e-01,4.0944e-01
Normal Lung (at 275 HU),3.5470e-01,6.7746e-02,2.3733e-02,2.3315e-01,1.9849e-01,2.0634e-01,7.3421e-01,9.7089e-02,5.6547e-01,5.5063e-01,1.1943e-01,7.9924e-03,1.9131e-02,5.9484e-03,3.3357e-01,8.8299e-01,4.7668e-01,4.3468e-01,4.7613e-01,1.7972e-01,4.0702e-01
Normal Lung (at 300 HU),3.4696e-01,6.3257e-02,2.2345e-02,2.2256e-01,1.8841e-01,1.9483e-01,7.1520e-01,9.1411e-02,5.7636e-01,5.3613e-01,1.1952e-01,7.3559e-03,1.7634e-02,5.6663e-03,3.2040e-01,8.8563e-01,4.7664e-01,4.4014e-01,4.8113e-01,1.7446e-01,4.0566e-01
Calculated FVC,1.0186e-02,5.4537e-03,1.3407e-01,2.3315e-02,5.5980e-02,3.4605e-02,1.9674e-02,5.2187e-03,3.6543e-01,1.0825e-01,8.0812e-01,3.8213e-02,1.4618e-02,1.3207e-01,4.0225e-02,9.1380e-01,6.1438e-01,9.2118e-01,8.2524e-01,1.0367e-01,4.1970e-01
