p-value,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
Segmented - DAT at 200 HU,4.0936e-02,5.5320e-01,5.1965e-01,2.6321e-01,7.8066e-01,8.5855e-01,2.8104e-01,2.8317e-01,2.2755e-02,2.2614e-01,3.0490e-02,2.0689e-01,5.5288e-01,2.7520e-02,5.0745e-01,6.7679e-02,4.0866e-02,3.8995e-01,2.5914e-02,7.3055e-01,9.7713e-01
Segmented - DAT at 225 HU,3.3259e-02,4.7893e-01,5.7519e-01,2.1936e-01,8.6391e-01,9.5165e-01,2.3963e-01,2.3321e-01,1.8626e-02,1.9623e-01,3.0456e-02,2.3434e-01,6.0804e-01,3.1589e-02,4.5112e-01,6.6696e-02,4.1770e-02,3.9890e-01,2.2674e-02,7.7021e-01,9.5965e-01
Segmented - DAT at 250 HU,2.8560e-02,4.2827e-01,6.1746e-01,1.9066e-01,9.2632e-01,9.7902e-01,2.1179e-01,2.0091e-01,1.6032e-02,1.7600e-01,3.0571e-02,2.5642e-01,6.5050e-01,3.5025e-02,4.1161e-01,6.6761e-02,4.2346e-02,4.0774e-01,2.0646e-02,8.0036e-01,9.4631e-01
Segmented - DAT at 275 HU,2.5566e-02,3.9333e-01,6.4920e-01,1.7145e-01,9.7261e-01,9.2798e-01,1.9277e-01,1.7954e-01,1.4362e-02,1.6221e-01,3.0752e-02,2.7368e-01,6.8257e-01,3.7834e-02,3.8388e-01,6.7257e-02,4.2728e-02,4.1540e-01,1.9360e-02,8.2297e-01,9.3636e-01
Segmented - DAT at 300 HU,2.3478e-02,3.6765e-01,6.7395e-01,1.5755e-01,9.9111e-01,8.8826e-01,1.7860e-01,1.6434e-01,1.3170e-02,1.5208e-01,3.0897e-02,2.8762e-01,7.0792e-01,4.0163e-02,3.6295e-01,6.8039e-02,4.2968e-02,4.2247e-01,1.8462e-02,8.4071e-01,9.2911e-01
Normal Lung (at 5 HU),8.1594e-01,1.8181e-02,8.0678e-05,4.3822e-02,5.7850e-02,5.4145e-02,8.4851e-01,1.9701e-02,5.7894e-01,2.0012e-01,1.5628e-02,9.8498e-04,1.2537e-02,3.5413e-03,2.2464e-01,1.7463e-01,1.8831e-01,2.0882e-02,4.8589e-01,1.2413e-01,8.8999e-01
Normal Lung (at 25 HU),8.9679e-01,1.2058e-02,1.7346e-05,5.1367e-02,2.9182e-02,2.7574e-02,7.6272e-01,2.0369e-02,3.2436e-01,3.0983e-01,2.0399e-03,2.8445e-05,3.9552e-03,3.9846e-05,2.6015e-01,3.9478e-01,3.4208e-02,6.1393e-02,2.5209e-01,7.5040e-02,8.6864e-01
Normal Lung (at 50 HU),9.7890e-01,8.9362e-03,1.4363e-05,5.3185e-02,6.5302e-03,6.5524e-03,6.5521e-01,2.0558e-02,2.5435e-01,4.9182e-01,3.6676e-03,8.5743e-05,5.3352e-03,1.7135e-05,2.6427e-01,7.0033e-01,5.1878e-03,1.9888e-01,1.8514e-01,1.4434e-01,7.9981e-01
Normal Lung (at 75 HU),7.4710e-01,1.9217e-02,4.3618e-05,1.0867e-01,5.3925e-03,6.0085e-03,7.3816e-01,5.1355e-02,2.2075e-01,6.6319e-01,7.1944e-03,4.7398e-04,1.0564e-02,5.0646e-05,3.1042e-01,9.7210e-01,4.2542e-03,4.3446e-01,1.5696e-01,1.7636e-01,8.7851e-01
Normal Lung (at 100 HU),4.7613e-01,6.3795e-02,2.5407e-04,2.3433e-01,1.9122e-02,2.0330e-02,9.8867e-01,1.4311e-01,1.5023e-01,8.1045e-01,4.3497e-03,1.4061e-03,2.4661e-02,1.1563e-04,4.5950e-01,8.0047e-01,5.7383e-03,5.5345e-01,1.1506e-01,2.1012e-01,9.2539e-01
Normal Lung (at 125 HU),3.1063e-01,1.3700e-01,7.9337e-04,3.7826e-01,4.8331e-02,5.1052e-02,7.8480e-01,2.6683e-01,9.9712e-02,9.3452e-01,2.3116e-03,2.7727e-03,4.4352e-02,1.8690e-04,6.1726e-01,7.3249e-01,7.0971e-03,5.7418e-01,8.2984e-02,2.4540e-01,9.2768e-01
Normal Lung (at 150 HU),2.1295e-01,2.2150e-01,1.5763e-03,5.2093e-01,8.5899e-02,9.3813e-02,6.0552e-01,3.9494e-01,6.5404e-02,9.4220e-01,1.3607e-03,4.4331e-03,6.5986e-02,2.2685e-04,7.5970e-01,7.0537e-01,7.9821e-03,5.5322e-01,5.9063e-02,2.7978e-01,9.0403e-01
Normal Lung (at 175 HU),1.6250e-01,2.9223e-01,2.4032e-03,6.2658e-01,1.1962e-01,1.3402e-01,4.9678e-01,4.9462e-01,4.7881e-02,8.5566e-01,9.8312e-04,6.0784e-03,8.4684e-02,2.6515e-04,8.5979e-01,6.9697e-01,8.4845e-03,5.2875e-01,4.6063e-02,3.0703e-01,8.8017e-01
Normal Lung (at 200 HU),1.3360e-01,3.4900e-01,3.2188e-03,7.0412e-01,1.4849e-01,1.6918e-01,4.2758e-01,5.7052e-01,3.8053e-02,7.9543e-01,7.9585e-04,7.6120e-03,1.0041e-01,3.0514e-04,9.3173e-01,6.9650e-01,8.7904e-03,5.0714e-01,3.8572e-02,3.2849e-01,8.6048e-01
Normal Lung (at 225 HU),1.1545e-01,3.9436e-01,3.9866e-03,7.6246e-01,1.7279e-01,1.9912e-01,3.8073e-01,6.2899e-01,3.1945e-02,7.5149e-01,6.8830e-04,9.0059e-03,1.1362e-01,3.4450e-04,9.8551e-01,6.9892e-01,8.9507e-03,4.8933e-01,3.3848e-02,3.4558e-01,8.4450e-01
Normal Lung (at 250 HU),1.0343e-01,4.3047e-01,4.6858e-03,8.0721e-01,1.9303e-01,2.2416e-01,3.4759e-01,6.7413e-01,2.7934e-02,7.1875e-01,6.2299e-04,1.0236e-02,1.2454e-01,3.8130e-04,9.7381e-01,7.0170e-01,9.0371e-03,4.7558e-01,3.0697e-02,3.5921e-01,8.3234e-01
Normal Lung (at 275 HU),9.5311e-02,4.5843e-01,5.2883e-03,8.4097e-01,2.0930e-01,2.4433e-01,3.2408e-01,7.0825e-01,2.5259e-02,6.9472e-01,5.8201e-04,1.1267e-02,1.3324e-01,4.1378e-04,9.4354e-01,7.0430e-01,9.0883e-03,4.6525e-01,2.8577e-02,3.6982e-01,8.2329e-01
Normal Lung (at 300 HU),8.9422e-02,4.8102e-01,5.8185e-03,8.6787e-01,2.2297e-01,2.6125e-01,3.0609e-01,7.3524e-01,2.3298e-02,6.7588e-01,5.5242e-04,1.2154e-02,1.4048e-01,4.4234e-04,9.1949e-01,7.0688e-01,9.1195e-03,4.5691e-01,2.7023e-02,3.7846e-01,8.1666e-01
Calculated FVC,1.0186e-02,5.4537e-03,1.3407e-01,2.3315e-02,5.5980e-02,3.4605e-02,1.9674e-02,5.2187e-03,3.6543e-01,1.0825e-01,8.0812e-01,3.8213e-02,1.4618e-02,1.3207e-01,4.0225e-02,9.1380e-01,6.1438e-01,9.2118e-01,8.2524e-01,1.0367e-01,4.1970e-01
