correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
dyn-275,0.54,0.22,-0.12,0.35,-0.01,0.02,0.33,0.34,0.64,0.39,0.58,0.31,0.12,0.56,-0.25,0.54,0.83,0.26,0.66,0.07,0.03
dyn-300,0.55,0.23,-0.11,0.36,0.00,0.04,0.34,0.35,0.64,0.40,0.58,0.31,0.11,0.55,-0.26,0.54,0.83,0.26,0.66,0.07,0.03
(severe+dyn-5),-0.07,-0.57,-0.80,-0.52,-0.47,-0.48,-0.07,-0.57,0.10,-0.40,0.57,0.72,0.60,0.64,0.36,-0.47,0.50,-0.68,0.17,0.43,0.12
(severe+dyn-25),-0.04,-0.60,-0.86,-0.50,-0.54,-0.55,-0.09,-0.57,0.27,-0.31,0.74,0.88,0.71,0.86,0.34,-0.29,0.86,-0.57,0.34,0.53,0.09
(severe+dyn-50),0.01,-0.62,-0.86,-0.49,-0.65,-0.65,-0.13,-0.57,0.31,-0.21,0.71,0.85,0.69,0.87,0.33,-0.14,0.94,-0.40,0.40,0.44,0.11
(severe+dyn-75),0.09,-0.57,-0.83,-0.42,-0.66,-0.65,-0.10,-0.49,0.33,-0.13,0.66,0.79,0.64,0.85,0.30,0.01,0.93,-0.25,0.42,0.40,0.08
(severe+dyn-100),0.20,-0.46,-0.77,-0.31,-0.57,-0.57,-0.01,-0.37,0.39,-0.07,0.69,0.74,0.57,0.82,0.22,0.08,0.91,-0.18,0.46,0.37,0.07
(severe+dyn-125),0.28,-0.37,-0.73,-0.23,-0.49,-0.49,0.07,-0.28,0.44,-0.03,0.72,0.70,0.52,0.80,0.15,0.11,0.90,-0.17,0.50,0.34,0.07
(severe+dyn-150),0.34,-0.30,-0.70,-0.17,-0.43,-0.42,0.14,-0.21,0.49,0.02,0.75,0.68,0.47,0.79,0.08,0.12,0.89,-0.18,0.54,0.31,0.08
(severe+dyn-175),0.38,-0.26,-0.67,-0.12,-0.39,-0.38,0.18,-0.17,0.53,0.06,0.76,0.66,0.44,0.79,0.04,0.13,0.88,-0.19,0.57,0.29,0.10
(severe+dyn-200),0.40,-0.22,-0.66,-0.09,-0.36,-0.35,0.21,-0.13,0.55,0.08,0.77,0.64,0.42,0.78,0.01,0.13,0.88,-0.20,0.59,0.28,0.11
(severe+dyn-225),0.42,-0.20,-0.65,-0.07,-0.34,-0.32,0.23,-0.11,0.56,0.10,0.77,0.63,0.40,0.77,-0.01,0.12,0.88,-0.21,0.60,0.27,0.11
(severe+dyn-250),0.44,-0.18,-0.64,-0.06,-0.33,-0.30,0.25,-0.09,0.58,0.11,0.77,0.62,0.39,0.77,-0.02,0.12,0.88,-0.22,0.61,0.26,0.12
(severe+dyn-275),0.45,-0.17,-0.63,-0.04,-0.31,-0.29,0.26,-0.08,0.58,0.12,0.78,0.61,0.38,0.77,-0.04,0.12,0.88,-0.23,0.62,0.25,0.12
insp-exp (aero),0.45,-0.16,-0.62,-0.03,-0.30,-0.28,0.27,-0.07,0.59,0.13,0.78,0.60,0.37,0.76,-0.04,0.12,0.88,-0.23,0.62,0.25,0.13
