correlation,FVC,FEV1,FEV1/FVC,FEF max,FEF25-75%,FEF50,FIF50,MVV,SVC,IC,ERV,TGV,RV (Pleth),TLC (Pleth),RV/TLC,DLCOunc,DLCOcor,DL/VA,VA,Raw,sGaw
severe+dyn-25,-0.37,-0.80,-0.89,-0.69,-0.72,-0.66,-0.17,-0.69,0.04,-0.24,0.43,0.43,0.42,0.25,0.29,-0.08,0.71,-0.12,0.09,0.37,0.10
severe+dyn-50,-0.36,-0.81,-0.89,-0.66,-0.78,-0.73,-0.21,-0.69,0.06,-0.22,0.45,0.45,0.43,0.27,0.29,-0.01,0.70,-0.06,0.12,0.38,0.08
severe+dyn-75,-0.31,-0.79,-0.88,-0.60,-0.81,-0.76,-0.21,-0.65,0.08,-0.18,0.45,0.45,0.44,0.29,0.29,0.05,0.67,-0.00,0.14,0.37,0.05
severe+dyn-100,-0.26,-0.75,-0.87,-0.55,-0.82,-0.76,-0.19,-0.61,0.10,-0.15,0.44,0.45,0.43,0.29,0.28,0.08,0.65,0.03,0.16,0.36,0.03
severe+dyn-125,-0.23,-0.73,-0.87,-0.52,-0.82,-0.76,-0.18,-0.59,0.10,-0.14,0.44,0.44,0.43,0.29,0.27,0.10,0.64,0.03,0.17,0.36,0.03
severe+dyn-150,-0.21,-0.71,-0.86,-0.50,-0.81,-0.75,-0.17,-0.57,0.11,-0.12,0.44,0.43,0.42,0.29,0.26,0.10,0.63,0.04,0.17,0.36,0.04
severe+dyn-175,-0.19,-0.69,-0.85,-0.49,-0.80,-0.74,-0.16,-0.56,0.12,-0.11,0.44,0.43,0.41,0.29,0.26,0.10,0.63,0.04,0.17,0.36,0.05
severe+dyn-200,-0.18,-0.68,-0.85,-0.48,-0.79,-0.73,-0.15,-0.55,0.12,-0.11,0.44,0.42,0.41,0.29,0.25,0.10,0.63,0.04,0.17,0.36,0.05
severe+dyn-225,-0.17,-0.67,-0.84,-0.47,-0.79,-0.73,-0.14,-0.55,0.12,-0.10,0.44,0.42,0.40,0.29,0.24,0.10,0.63,0.04,0.17,0.36,0.06
severe+dyn-250,-0.16,-0.67,-0.84,-0.47,-0.78,-0.72,-0.14,-0.54,0.13,-0.10,0.44,0.41,0.40,0.29,0.24,0.10,0.63,0.03,0.17,0.36,0.06
severe+dyn-275,-0.16,-0.66,-0.84,-0.47,-0.78,-0.72,-0.14,-0.54,0.13,-0.10,0.44,0.41,0.39,0.29,0.24,0.10,0.63,0.03,0.17,0.36,0.07
severe+dyn-300,-0.15,-0.66,-0.84,-0.46,-0.78,-0.71,-0.13,-0.53,0.13,-0.09,0.44,0.41,0.39,0.28,0.24,0.10,0.62,0.03,0.17,0.36,0.07
